Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,Cp NVWR,CVR,DCS (pre) Order,Meta_Leads,Cp lead Forms
GR,Always On,Search Engine,SEA Adwords,Conversion,CE 04 (0C51),21.174038,1564.0,13.53838746803069,266.0,0.170076726342711,0.07960164661654136,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,M 1000 RR (0P01),21.605596,2381.0,9.074168836623267,260.0,0.10919781604367913,0.08309844615384615,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,C 400 GT (0S01),14.970645,1258.0,11.900353736089029,200.0,0.1589825119236884,0.074853225,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,C 400 X (0S11),9.479079,636.0,14.904212264150944,132.0,0.20754716981132076,0.07181120454545455,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,G 310 GS (0G31),8.794999,900.0,9.772221111111111,107.0,0.11888888888888889,0.0821962523364486,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,R 1250 GS Adventure (0M11),4.70651,396.0,11.885126262626262,56.0,0.1414141414141414,0.08404482142857142,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,Dealer,4.746908,177.0,26.818689265536726,55.0,0.3107344632768362,0.08630741818181818,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,G 310 R (0G41),3.875009,361.0,10.734096952908587,46.0,0.12742382271468145,0.08423932608695651,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,R 18 (0N71),2.392806,170.0,14.075329411764706,28.0,0.16470588235294117,0.08545735714285715,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GT (0F21),2.095421,202.0,10.373371287128712,25.0,0.12376237623762376,0.08381684,,NaN,0.0,,NaN,NaN,,,NaN
GR,Always On,Search Engine,SEA Adwords,Conversion,K 1600 GTL (0F31),1.216788,134.0,9.080507462686567,17.0,0.12686567164179105,0.07157576470588235,,NaN,0.0,,NaN,NaN,,,NaN
